eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude
1.97E+11,1970,7,2,,0,,58,Dominican Republic,2,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164
1.97E+11,1970,0,0,,0,,130,Mexico,1,North America,,Mexico city,19.432608,-99.133207
1.97001E+11,1970,1,0,,0,,160,Philippines,5,Southeast Asia,Tarlac,Unknown,15.478598,120.599741
1.97001E+11,1970,1,0,,0,,78,Greece,8,Western Europe,Attica,Athens,37.983773,23.728157
1.97001E+11,1970,1,0,,0,,101,Japan,4,East Asia,,Fukouka,33.580412,130.396361
1.97001E+11,1970,1,1,,0,,217,United States,1,North America,Illinois,Cairo,37.005105,-89.176269
1.97001E+11,1970,1,2,,0,,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214
1.97001E+11,1970,1,2,,0,,217,United States,1,North America,California,Oakland,37.805065,-122.273024
1.97001E+11,1970,1,2,,0,,217,United States,1,North America,Wisconsin,Madison,43.076592,-89.412488
1.97001E+11,1970,1,3,,0,,217,United States,1,North America,Wisconsin,Madison,43.07295,-89.386694
1.97001E+11,1970,1,1,,0,,217,United States,1,North America,Wisconsin,Baraboo,43.4685,-89.744299
1.97001E+11,1970,1,6,,0,,217,United States,1,North America,Colorado,Denver,39.74001,-104.992259
1.97001E+11,1970,1,8,,0,,98,Italy,8,Western Europe,Lazio,Rome,41.89052,12.494249
1.97001E+11,1970,1,9,,0,,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924
1.97001E+11,1970,1,9,,0,,217,United States,1,North America,Puerto Rico,Rio Piedras,18.399712,-66.049987
1.97001E+11,1970,1,10,,0,,499,East Germany (GDR),9,Eastern Europe,,East Berlin,52.516667,13.4
1.97001E+11,1970,1,11,,0,,65,Ethiopia,11,Sub-Saharan Africa,Unknown,Unknown,,
1.97001E+11,1970,1,12,,0,,217,United States,1,North America,New York,New York City,40.610069,-73.947971
1.97001E+11,1970,1,12,,0,,217,United States,1,North America,Puerto Rico,Rio Grande,18.379998,-65.830948
1.97001E+11,1970,1,13,,0,,217,United States,1,North America,Washington,Seattle,47.60356,-122.329439
2.01605E+11,2016,5,9,3/12/16 0:00,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.315643,44.365416
2.01605E+11,2016,5,9,,0,,37,Cameroon,11,Sub-Saharan Africa,Extreme-North,Mora,11.050417,14.150164
2.01605E+11,2016,5,9,,0,,195,Sudan,11,Sub-Saharan Africa,North Darfur,Kabkabiya district,13.651143,24.090425
2.01605E+11,2016,5,9,3/12/16 0:00,1,,195,Sudan,11,Sub-Saharan Africa,North Darfur,Kabkabiya district,13.651143,24.090425
2.01605E+11,2016,5,9,"January 19-20, 1970",1,,195,Sudan,11,Sub-Saharan Africa,South Darfur,Mashrou Abu Zeid,12.928787,24.472365
2.01605E+11,2016,5,9,3/12/16 0:00,0,,160,Philippines,5,Southeast Asia,Sorsogon,Pangi,12.620952,124.044771
2.01605E+11,2016,5,9,,0,,160,Philippines,5,Southeast Asia,Sulu,Maimbung,5.93293,121.025525
2.01605E+11,2016,5,9,3/12/16 0:00,0,,160,Philippines,5,Southeast Asia,Basilan,Tubigan,6.538583,121.880355
2.01605E+11,2016,5,9,,0,,160,Philippines,5,Southeast Asia,Maguindanao,Mamasapano,6.938487,124.514228
